DP0010001,DP0010002,DP0010003,DP0010004,DP0010005,DP0010006,DP0010007,DP0010008,DP0010009,DP0010010,DP0010011,DP0010012,DP0010013,DP0010014,DP0010015,DP0010016,DP0010017,DP0010018,DP0010019
10258,616,597,330,371,1089,1341,1032,902,713,581,654,550,485,363,227,150,105,152
15762,1336,1184,1101,1142,1253,1291,1257,1200,1096,1021,978,889,812,449,306,168,132,147
12757,1492,1235,1008,1062,1261,1080,972,803,783,757,589,425,386,323,239,163,112,67
27965,2201,2073,2109,2414,1873,1755,1587,1559,1648,1954,1802,1560,1334,1354,1066,801,503,372
33678,3372,3036,2691,2539,2958,3220,2907,2538,2114,2088,1726,1426,966,656,502,439,310,190
35896,3399,2871,2495,2485,2578,2973,2781,2605,2400,2385,2284,2078,1465,947,651,583,495,421
71969,7450,5971,4651,4616,6609,7469,6887,5855,4724,4184,3606,2787,2007,1506,1159,949,791,748
19819,2019,1931,1749,1734,1500,1591,1593,1502,1298,1146,1056,794,602,470,341,238,154,101
26713,2821,2677,2577,2239,2050,2267,2348,2092,1807,1584,1322,1035,755,446,326,182,126,59
27562,2792,2628,2460,2518,2284,2076,1993,1856,1754,1659,1472,1181,980,726,521,315,210,137
45081,3830,3362,3247,3134,3361,3826,3411,3307,3131,3136,3168,2755,2177,1297,793,523,354,269
37146,2934,3174,3096,2756,2211,2488,2556,2973,3003,2904,2764,2272,1699,1001,563,376,217,159
36385,2947,2146,1573,1518,3194,4657,3941,3130,2407,2171,2238,1883,1530,1109,756,541,362,282
23358,1824,1622,1571,1598,1568,1899,1744,1621,1493,1662,1621,1439,967,854,653,545,425,252
30949,3294,3122,2746,2279,1806,2515,2684,2710,2204,2002,1727,1444,1063,575,326,235,128,89
31255,2773,2817,2685,2684,2287,2240,2155,2148,1925,1886,1793,1671,1445,1082,743,472,261,188
1196,25,9,12,10,104,270,152,91,48,63,51,74,84,56,41,45,35,26
21077,1865,1597,1537,1445,1319,2131,2016,1721,1247,1320,1180,1018,761,589,548,371,241,171
15294,1246,1230,1230,1276,962,1026,961,1020,955,915,1016,962,771,623,475,326,184,116
28521,2747,2607,2586,2360,2206,2519,2357,2162,1917,1689,1683,1362,974,561,335,229,144,83
4611,477,431,335,325,359,364,363,268,270,269,224,216,233,224,133,58,36,26
15085,1334,1238,1132,1169,1127,1021,864,784,791,864,1025,949,641,527,503,446,374,296
22290,1332,615,445,571,3935,5194,3253,1757,1126,923,989,766,586,307,126,90,91,184
41989,3684,3493,3015,2838,2995,3600,3414,3178,2831,2768,2811,2212,1665,1094,753,620,532,486
18673,778,597,541,509,1137,2380,1726,1334,1111,1165,1319,1430,1360,969,674,504,470,669
39208,2686,1855,1365,1471,3619,5689,4475,3338,2768,2177,2126,1978,1874,1291,848,639,504,505
16406,957,689,652,732,1713,1952,1300,1124,1020,1104,1243,1054,899,678,513,358,240,178
16949,719,1153,1771,1603,583,446,492,770,1356,1953,1923,1373,1007,779,469,304,156,92
40830,4992,3933,3056,3242,4304,4257,3630,2964,2476,2142,1859,1335,1026,633,428,303,160,90
24457,2467,2020,1734,1835,2144,2204,1893,1809,1558,1462,1514,1246,876,605,363,287,231,209
25152,1404,1646,1891,1817,1220,1445,1385,1585,1779,2154,2317,1858,1523,1087,842,576,372,251
34299,2485,1675,1158,1337,3494,4999,3959,2691,2067,1849,1852,1702,1459,1032,720,595,570,655
45847,3478,3556,3712,3406,3188,3702,3593,3688,3499,3573,3339,2569,1815,1006,651,493,309,270
35326,2621,2617,2591,2499,2706,3060,2642,2601,2448,2595,2453,2103,1540,1013,643,455,341,398
31366,2285,2493,2599,2711,2200,2257,2236,2312,2234,2180,2192,1913,1444,921,553,408,244,184
30559,3146,2909,2891,2745,2678,2529,2566,2272,2092,1851,1667,1349,830,472,272,143,91,56
10064,634,626,631,630,657,740,604,571,654,641,851,818,764,493,288,219,148,95
16541,886,782,821,812,1039,1201,902,891,908,1120,1432,1331,1361,999,724,578,412,342
46017,3436,3110,3044,2995,3206,4053,3624,3507,3170,3270,3322,2861,2186,1512,893,695,548,585
25671,1883,1830,1897,1848,1625,1740,1669,1664,1682,1965,2011,1773,1369,1036,636,475,323,245
56526,4996,4865,4664,4832,4471,4329,4071,4241,3969,3897,3424,2846,2104,1439,992,726,411,249
34790,3625,3489,3117,3021,2634,3201,3313,3031,2325,2013,1685,1197,855,536,357,193,123,75
37267,3567,3008,2467,2830,3199,3233,3075,2731,2385,2295,2071,1739,1269,875,614,580,512,817
37388,3886,3527,3372,2942,2933,3432,3246,2922,2439,2266,1967,1560,1103,640,464,343,200,146
33803,3551,3274,2865,2843,2994,2927,2614,2363,2229,1956,1727,1404,995,677,457,376,306,245
52151,3750,2890,2616,2617,3826,5425,4725,3952,3419,3562,3781,3358,2819,1853,1126,863,775,794
14777,1415,1370,1326,1325,1138,1035,970,885,814,931,824,850,771,479,276,187,116,65
31280,2019,2335,2429,2149,1379,1719,1779,2058,2243,2293,2640,2246,1626,1176,1065,933,750,441
45275,4269,3722,3268,3187,3772,4165,3693,3319,2913,2687,2415,2007,1516,1177,1026,842,690,607
47860,5368,4092,3007,3020,4804,6126,5518,4250,3307,2612,2066,1398,915,565,321,208,150,133
49900,3986,3262,3006,3016,4133,5251,4483,3987,3445,3318,3254,2790,2182,1351,857,647,488,444
70837,5505,6049,6274,6399,4929,4447,4610,5498,5398,5175,5180,4202,2845,1782,1068,716,469,291
95137,8126,8053,7764,7393,6672,7580,7716,7894,7034,6746,6560,5151,3655,2109,1209,685,475,315
16074,1387,1498,1574,1400,1119,1134,1246,1396,1132,1074,915,714,506,399,270,148,90,72
28009,2759,2698,2645,2458,2130,2072,2250,2281,1992,1720,1531,1282,916,560,308,208,123,76
36399,3391,3116,3006,3097,3033,2847,2640,2421,2206,2233,2120,1757,1487,1075,718,554,365,333
49660,4108,4040,4092,4178,3480,3411,3194,3372,3260,3435,3559,3035,2318,1528,1060,787,470,333
48685,3857,3829,3926,3724,3453,3710,3806,3878,3270,3127,3013,2673,2271,1627,980,703,483,355
32930,3023,2565,2154,2319,3372,3713,2974,2378,2041,1927,1754,1420,1084,735,505,396,272,298
23472,2162,1878,1744,1761,1757,1777,1593,1473,1449,1452,1561,1380,1127,781,555,440,294,288
33745,3104,2542,2083,2123,2658,3034,2906,2562,2136,2249,2075,1866,1371,966,780,609,387,294
46929,4869,4537,4131,4174,3828,3609,3407,3119,2853,2851,2554,2049,1533,1118,879,678,447,293
8498,398,567,762,765,297,245,272,500,656,992,1077,866,458,276,153,107,58,49
66502,5065,5433,5669,5106,3840,4311,4832,5665,5322,5549,5404,4163,2706,1341,855,570,388,283
32628,2361,2103,1847,1948,2062,2518,2146,2010,2012,2175,2473,2179,1752,1219,1037,1036,939,811
13076,520,350,334,329,1207,2342,1662,1162,814,808,826,814,757,445,259,198,119,130
47091,3990,3988,3803,3868,3666,3793,3515,3546,3212,3189,3064,2480,1884,1214,782,537,327,233
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23104,1761,1862,2056,2067,1249,1478,1557,1708,1743,1831,1690,1348,932,667,440,333,226,156
37995,3466,3526,3402,3256,2802,2735,2789,2639,2419,2337,2159,1688,1316,988,778,732,548,415
12471,837,956,1076,971,681,674,695,919,901,1024,1043,858,682,439,314,222,109,70
