"shapeid","ZCTA5CE10","GEOID10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","DP0010001","DP0010002","DP0010003","DP0010004","DP0010005","DP0010006","DP0010007","DP0010008","DP0010009","DP0010010","DP0010011","DP0010012","DP0010013","DP0010014","DP0010015","DP0010016","DP0010017","DP0010018","DP0010019","DP0010020","DP0010021","DP0010022","DP0010023","DP0010024","DP0010025","DP0010026","DP0010027","DP0010028","DP0010029","DP0010030","DP0010031","DP0010032","DP0010033","DP0010034","DP0010035","DP0010036","DP0010037","DP0010038","DP0010039","DP0010040","DP0010041","DP0010042","DP0010043","DP0010044","DP0010045","DP0010046","DP0010047","DP0010048","DP0010049","DP0010050","DP0010051","DP0010052","DP0010053","DP0010054","DP0010055","DP0010056","DP0010057","DP0020001","DP0020002","DP0020003","DP0030001","DP0030002","DP0030003","DP0040001","DP0040002","DP0040003","DP0050001","DP0050002","DP0050003","DP0060001","DP0060002","DP0060003","DP0070001","DP0070002","DP0070003","DP0080001","DP0080002","DP0080003","DP0080004","DP0080005","DP0080006","DP0080007","DP0080008","DP0080009","DP0080010","DP0080011","DP0080012","DP0080013","DP0080014","DP0080015","DP0080016","DP0080017","DP0080018","DP0080019","DP0080020","DP0080021","DP0080022","DP0080023","DP0080024","DP0090001","DP0090002","DP0090003","DP0090004","DP0090005","DP0090006","DP0100001","DP0100002","DP0100003","DP0100004","DP0100005","DP0100006","DP0100007","DP0110001","DP0110002","DP0110003","DP0110004","DP0110005","DP0110006","DP0110007","DP0110008","DP0110009","DP0110010","DP0110011","DP0110012","DP0110013","DP0110014","DP0110015","DP0110016","DP0110017","DP0120001","DP0120002","DP0120003","DP0120004","DP0120005","DP0120006","DP0120007","DP0120008","DP0120009","DP0120010","DP0120011","DP0120012","DP0120013","DP0120014","DP0120015","DP0120016","DP0120017","DP0120018","DP0120019","DP0120020","DP0130001","DP0130002","DP0130003","DP0130004","DP0130005","DP0130006","DP0130007","DP0130008","DP0130009","DP0130010","DP0130011","DP0130012","DP0130013","DP0130014","DP0130015","DP0140001","DP0150001","DP0160001","DP0170001","DP0180001","DP0180002","DP0180003","DP0180004","DP0180005","DP0180006","DP0180007","DP0180008","DP0180009","DP0190001","DP0200001","DP0210001","DP0210002","DP0210003","DP0220001","DP0220002","DP0230001","DP0230002","Shape_Leng","Shape_Area"
"33.1","77002","77002","5227914.0","128033.0","+29.7568447","-095.3656519","16793","88","45","36","1017","2626","2983","2217","1711","1590","1542","1265","867","480","163","79","48","12","24","13839","50","23","23","920","2149","2401","1828","1413","1356","1308","1046","704","383","126","58","33","6","12","2954","38","22","13","97","477","582","389","298","234","234","219","163","97","37","21","15","6","12","33.4","33.5","32.9","16615","13738","2877","16411","13548","2863","15117","12403","2714","578","436","142","326","235","91","16793","16610","8704","6649","36","310","86","44","30","8","29","46","67","4","2","2","0","0","907","183","25","22","13","57","8842","6687","82","366","16","1001","16793","3248","1919","90","35","1204","13545","16793","3248","2489","54","7","7","1","594","96","13545","6215","6595","29","303","3","313","87","16793","4050","3080","367","164","122","62","11","9","377","3","3","195","12743","11153","9946","1207","1590","1285","305","3080","471","87","367","42","48","14","56","31","2609","2259","1612","102","647","31","96","199","1.31","2.26","3757","3080","677","385","23","104","27","102","36","12.6","13.8","3080","695","2385","1049","3001","1.51","1.26","0.26228750906","0.00049955833"
"33.1.ring1","77002","77002","5227914.0","128033.0","+29.7568447","-095.3656519","16793","88","45","36","1017","2626","2983","2217","1711","1590","1542","1265","867","480","163","79","48","12","24","13839","50","23","23","920","2149","2401","1828","1413","1356","1308","1046","704","383","126","58","33","6","12","2954","38","22","13","97","477","582","389","298","234","234","219","163","97","37","21","15","6","12","33.4","33.5","32.9","16615","13738","2877","16411","13548","2863","15117","12403","2714","578","436","142","326","235","91","16793","16610","8704","6649","36","310","86","44","30","8","29","46","67","4","2","2","0","0","907","183","25","22","13","57","8842","6687","82","366","16","1001","16793","3248","1919","90","35","1204","13545","16793","3248","2489","54","7","7","1","594","96","13545","6215","6595","29","303","3","313","87","16793","4050","3080","367","164","122","62","11","9","377","3","3","195","12743","11153","9946","1207","1590","1285","305","3080","471","87","367","42","48","14","56","31","2609","2259","1612","102","647","31","96","199","1.31","2.26","3757","3080","677","385","23","104","27","102","36","12.6","13.8","3080","695","2385","1049","3001","1.51","1.26","0.26228750906","0.00049955833"
"34","77003","77003","6567398.0","67910.0","+29.7498076","-095.3459012","10508","731","673","559","600","880","1384","1098","770","675","762","721","550","410","232","161","110","113","79","5709","351","336","268","316","451","780","603","435","383","469","449","337","219","123","72","49","48","20","4799","380","337","291","284","429","604","495","335","292","293","272","213","191","109","89","61","65","59","31.8","33.0","30.6","8429","4690","3739","8198","4572","3626","7818","4368","3450","909","418","491","695","312","383","10508","10144","5206","2757","49","274","41","59","24","2","17","97","34","0","0","0","0","0","1858","364","14","25","40","197","5494","2848","101","330","6","2111","10508","5427","4515","56","19","837","5081","10508","5427","3228","65","30","4","0","1846","254","5081","1978","2692","19","270","0","12","110","10508","9372","3894","1093","2496","1733","1056","426","89","833","22","14","351","1136","33","14","19","1103","753","350","3894","1913","825","1093","411","250","95","570","319","1981","1505","946","77","559","88","1005","516","2.41","3.43","4713","3894","819","316","12","248","15","23","205","14.7","11.3","3894","1421","2473","3619","5753","2.55","2.33","0.19100950354","0.00061884349"
"35.0","77004","77004","14960198.0","68772.0","+29.7248926","-095.3637516","32692","1495","1214","1065","3885","5830","3213","2360","1831","1740","1784","2026","1868","1394","894","593","600","483","417","16368","772","609","556","1877","2753","1687","1230","1003","943","947","1074","998","725","419","261","233","158","123","16324","723","605","509","2008","3077","1526","1130","828","797","837","952","870","669","475","332","367","325","294","29.4","29.8","29.1","28685","14296","14389","28129","14036","14093","23266","11831","11435","3761","1599","2162","2987","1194","1793","32692","31966","9231","18948","114","2085","536","489","144","62","87","223","544","12","0","7","3","2","1576","726","29","129","146","133","9752","19332","265","2318","41","1814","32692","4079","2967","117","72","923","28613","32692","4079","2148","174","53","23","1","1431","249","28613","7083","18774","61","2062","11","145","477","32692","25908","12802","2628","5335","3362","2442","945","221","2701","83","89","848","6784","80","39","41","6704","3577","3127","12802","5275","1890","2628","862","605","170","2042","858","7527","5903","3032","434","2871","736","2390","2480","2.02","2.97","16618","12802","3816","1657","41","616","53","220","1229","13.0","15.9","12802","4066","8736","8563","17345","2.11","1.99","0.2138502977","0.00140134324"
"35.1","77004","77004","14960198.0","68772.0","+29.7248926","-095.3637516","32692","1495","1214","1065","3885","5830","3213","2360","1831","1740","1784","2026","1868","1394","894","593","600","483","417","16368","772","609","556","1877","2753","1687","1230","1003","943","947","1074","998","725","419","261","233","158","123","16324","723","605","509","2008","3077","1526","1130","828","797","837","952","870","669","475","332","367","325","294","29.4","29.8","29.1","28685","14296","14389","28129","14036","14093","23266","11831","11435","3761","1599","2162","2987","1194","1793","32692","31966","9231","18948","114","2085","536","489","144","62","87","223","544","12","0","7","3","2","1576","726","29","129","146","133","9752","19332","265","2318","41","1814","32692","4079","2967","117","72","923","28613","32692","4079","2148","174","53","23","1","1431","249","28613","7083","18774","61","2062","11","145","477","32692","25908","12802","2628","5335","3362","2442","945","221","2701","83","89","848","6784","80","39","41","6704","3577","3127","12802","5275","1890","2628","862","605","170","2042","858","7527","5903","3032","434","2871","736","2390","2480","2.02","2.97","16618","12802","3816","1657","41","616","53","220","1229","13.0","15.9","12802","4066","8736","8563","17345","2.11","1.99","0.2138502977","0.00140134324"
"36","77005","77005","9958464.0","720.0","+29.7184351","-095.4235554","25528","1664","1884","1644","1609","1556","1547","1588","1796","1884","1913","2067","1964","1617","1047","503","411","355","479","12528","818","972","849","842","786","742","779","836","912","964","992","972","820","543","265","180","127","129","13000","846","912","795","767","770","805","809","960","972","949","1075","992","797","504","238","231","228","350","38.7","38.0","39.3","20041","9735","10306","19412","9427","9985","18389","8876","9513","3738","1728","2010","2795","1244","1551","25528","24960","21154","436","45","3033","835","1321","99","56","250","255","217","6","2","1","0","3","286","568","75","292","42","48","21639","513","137","3403","30","394","25528","2025","1026","68","124","807","23503","25528","2025","1680","23","4","27","0","221","70","23503","19474","413","41","3006","6","65","498","25528","23193","9548","5610","6923","6017","408","71","165","704","22","39","280","2335","0","0","0","2335","1196","1139","9548","6247","3233","5610","2877","171","91","466","265","3301","2827","1185","235","1642","702","3283","2166","2.43","3.07","10299","9548","751","297","12","144","44","69","185","2.0","10.1","9548","6909","2639","18812","4381","2.72","1.66","0.17003421444","0.00092856143"
"37","77006","77006","5840517.0","0.0","+29.7409697","-095.3913017","19664","636","352","314","659","1997","3213","2439","1807","1487","1400","1467","1321","1131","671","325","197","126","122","11111","336","181","155","327","1006","1722","1361","1099","937","928","844","764","651","382","199","109","61","49","8553","300","171","159","332","991","1491","1078","708","550","472","623","557","480","289","126","88","65","73","35.5","37.0","33.6","18286","10408","7878","18103","10307","7796","17446","9978","7468","2059","1146","913","1441","800","641","19664","19125","15921","837","91","1121","242","304","109","51","69","200","146","13","6","6","0","1","1142","539","82","171","65","101","16389","958","221","1358","37","1285","19664","3573","2499","87","84","903","16091","19664","3573","2190","44","58","10","3","1093","175","16091","13731","793","33","1111","10","49","364","19664","19081","11809","2440","1759","1378","513","81","64","2560","17","63","1236","583","91","49","42","492","238","254","11809","3143","922","2440","649","266","72","437","201","8666","6604","3894","294","2710","290","982","1181","1.62","2.5","13602","11809","1793","959","62","165","35","210","362","3.8","11.1","11809","4194","7615","7723","11358","1.84","1.49","0.12212199181","0.00054467229"
"38.0","77007","77007","20222292.0","233912.0","+29.7715454","-095.4110828","30853","1669","988","728","762","2557","5529","4363","3081","2357","1987","1871","1740","1237","786","465","293","241","199","16556","841","516","386","402","1288","2823","2409","1744","1367","1174","1066","939","656","426","235","126","92","66","14297","828","472","342","360","1269","2706","1954","1337","990","813","805","801","581","360","230","167","149","133","33.4","34.1","32.6","27280","14723","12557","27013","14564","12449","26508","14305","12203","2652","1289","1363","1984","945","1039","30853","29931","23426","1718","151","1884","583","452","121","43","121","337","227","17","3","13","1","0","2735","922","79","235","81","310","24213","1888","310","2227","81","3142","30853","9284","7106","160","128","1890","21569","30853","9284","5981","74","75","30","6","2679","439","21569","17445","1644","76","1854","11","56","483","30853","30574","16083","4855","4575","3313","1621","458","190","3440","55","62","1330","279","0","0","0","279","243","36","16083","6413","2101","4855","1481","594","206","964","414","9670","7182","4008","276","3174","410","2346","1613","1.9","2.72","17708","16083","1625","608","31","430","110","87","359","5.2","6.8","16083","7741","8342","15958","14616","2.06","1.75","0.30367013687","0.0019082627"
"38.1","77007","77007","20222292.0","233912.0","+29.7715454","-095.4110828","30853","1669","988","728","762","2557","5529","4363","3081","2357","1987","1871","1740","1237","786","465","293","241","199","16556","841","516","386","402","1288","2823","2409","1744","1367","1174","1066","939","656","426","235","126","92","66","14297","828","472","342","360","1269","2706","1954","1337","990","813","805","801","581","360","230","167","149","133","33.4","34.1","32.6","27280","14723","12557","27013","14564","12449","26508","14305","12203","2652","1289","1363","1984","945","1039","30853","29931","23426","1718","151","1884","583","452","121","43","121","337","227","17","3","13","1","0","2735","922","79","235","81","310","24213","1888","310","2227","81","3142","30853","9284","7106","160","128","1890","21569","30853","9284","5981","74","75","30","6","2679","439","21569","17445","1644","76","1854","11","56","483","30853","30574","16083","4855","4575","3313","1621","458","190","3440","55","62","1330","279","0","0","0","279","243","36","16083","6413","2101","4855","1481","594","206","964","414","9670","7182","4008","276","3174","410","2346","1613","1.9","2.72","17708","16083","1625","608","31","430","110","87","359","5.2","6.8","16083","7741","8342","15958","14616","2.06","1.75","0.30367013687","0.0019082627"
"39","77008","77008","16886733.0","70547.0","+29.7982489","-095.4169332","30482","2060","1321","1011","948","1649","3726","3508","2870","2337","2150","2269","2029","1428","926","671","520","530","529","15523","1057","693","518","485","808","1849","1850","1585","1283","1159","1164","1038","692","488","300","207","188","159","14959","1003","628","493","463","841","1877","1658","1285","1054","991","1105","991","736","438","371","313","342","370","36.7","36.6","36.9","25908","13173","12735","25557","13003","12554","24904","12661","12243","3989","1749","2240","3176","1342","1834","30482","29629","23874","1460","237","876","189","247","76","27","64","161","112","12","1","8","1","2","3170","853","140","203","88","275","24631","1617","424","1154","43","3527","30482","9672","7864","117","101","1590","20810","30482","9672","5884","68","168","26","6","3098","422","20810","17990","1392","69","850","6","72","431","30482","30291","14878","5248","5922","4346","1622","520","195","2621","56","84","1339","191","191","91","100","0","0","0","14878","6987","2638","5248","1907","566","219","1173","512","7891","6104","3036","358","3068","780","2913","2431","2.04","2.83","16526","14878","1648","682","46","358","113","133","316","4.2","9.0","14878","8066","6812","17502","12789","2.17","1.88","0.18277974895","0.00158228819"
"40","77009","77009","16006249.0","20223.0","+29.7953437","-095.3675896","38094","3066","2683","2301","2492","2462","3194","3080","2984","2634","2689","2635","2425","1741","1187","825","714","512","470","19669","1543","1422","1180","1326","1308","1689","1603","1617","1396","1431","1412","1298","882","577","372","276","191","146","18425","1523","1261","1121","1166","1154","1505","1477","1367","1238","1258","1223","1127","859","610","453","438","321","324","34.6","34.2","35.0","29575","15283","14292","28577","14745","13832","27125","13955","13170","4644","2030","2614","3708","1562","2146","38094","36831","24476","2549","330","339","53","84","36","23","19","68","56","23","10","4","3","6","9114","1263","103","108","61","750","25568","2680","550","509","67","10040","38094","26191","22973","117","75","3026","11903","38094","26191","15671","155","266","22","8","9066","1003","11903","8805","2394","64","317","15","48","260","38094","37606","13923","5181","11254","7399","4551","1950","409","2697","143","96","1203","488","53","29","24","435","369","66","13923","8424","3786","5181","2369","1002","343","2241","1074","5499","4206","2220","313","1986","630","4639","2904","2.7","3.49","15705","13923","1782","681","32","196","115","60","698","2.5","9.5","13923","7488","6435","19966","17640","2.67","2.74","0.18885538428","0.00149538066"
"41","77010","77010","319762.0","0.0","+29.7536238","-095.3598102","366","2","3","4","4","36","55","30","28","19","39","58","40","32","12","1","2","0","1","206","0","1","3","3","11","30","22","20","16","25","26","21","19","7","0","1","0","1","160","2","2","1","1","25","25","8","8","3","14","32","19","13","5","1","1","0","0","45.7","44.3","46.6","355","200","155","354","200","154","352","199","153","33","20","13","16","9","7","366","359","305","26","5","21","2","4","3","1","10","0","1","0","0","0","0","0","2","7","3","3","1","0","312","27","8","24","0","2","366","29","20","0","1","8","337","366","29","26","0","0","1","0","2","0","337","279","26","5","20","0","0","7","366","366","249","71","16","11","4","0","2","26","1","0","21","0","0","0","0","0","0","0","249","75","9","71","9","2","0","2","0","174","149","94","3","55","2","10","14","1.47","2.21","471","249","222","136","1","0","0","85","0","0.0","37.3","249","21","228","34","332","1.62","1.46","0.03267147346","2.982368e-05"
"42","77011","77011","9243204.0","428466.0","+29.7435643","-095.3089096","19547","1795","1569","1504","1483","1426","1534","1429","1343","1242","1231","1267","1042","801","595","459","376","267","184","10220","968","795","771","743","755","830","803","708","684","666","721","554","405","289","193","154","111","70","9327","827","774","733","740","671","704","626","635","558","565","546","488","396","306","266","222","156","114","31.6","31.4","31.8","14408","7549","6859","13796","7241","6555","12925","6793","6132","2336","1048","1288","1881","817","1064","19547","18861","12470","433","214","60","11","16","7","0","0","20","6","18","8","0","9","1","5666","686","34","15","19","516","13078","490","301","99","36","6269","19547","18515","16236","54","24","2201","1032","19547","18515","11870","116","192","19","14","5648","656","1032","600","317","22","41","4","18","30","19547","19309","5940","2647","6760","4404","2910","1275","253","1052","63","52","378","238","0","0","0","238","223","15","5940","4292","2073","2647","1351","535","192","1110","530","1648","1307","811","155","496","254","2603","1451","3.25","3.87","6932","5940","992","507","10","43","20","12","400","1.7","12.9","5940","2520","3420","8765","10544","3.48","3.08","0.18605837959","0.00090197789"
"43","77012","77012","10172603.0","845645.0","+29.7185253","-095.2741370","20719","2040","1836","1608","1669","1733","1746","1652","1480","1305","1276","1170","972","745","478","378","247","211","173","11000","1035","957","824","895","966","993","959","784","678","702","645","507","390","232","190","104","86","53","9719","1005","879","784","774","767","753","693","696","627","574","525","465","355","246","188","143","125","120","29.2","29.0","29.3","14930","8007","6923","14259","7644","6615","13228","7102","6126","1899","884","1015","1487","665","822","20719","19883","12926","574","179","265","9","7","11","2","5","216","15","2","0","1","1","0","5937","836","32","18","24","639","13657","646","257","320","15","6683","20719","19325","16940","51","16","2318","1394","20719","19325","12344","97","160","8","1","5916","799","1394","582","477","19","257","1","21","37","20719","20604","6035","2819","7538","5209","2942","1179","249","1270","67","32","483","115","0","0","0","115","110","5","6035","4523","2451","2819","1646","605","229","1099","576","1512","1130","744","120","386","188","2931","1154","3.41","3.94","6952","6035","917","486","11","29","19","15","357","1.2","11.9","6035","2442","3593","8811","11793","3.61","3.28","0.17986069025","0.00102731369"
"44","77013","77013","22650287.0","213335.0","+29.7918079","-095.2289914","17602","1788","1578","1295","1272","1488","1538","1460","1251","1015","954","1004","857","730","431","281","256","209","195","9250","902","843","689","662","801","828","799","689","547","509","558","486","391","208","110","91","69","68","8352","886","735","606","610","687","710","661","562","468","445","446","371","339","223","171","165","140","127","29.5","29.4","29.5","12694","6695","5999","12197","6422","5775","11374","5984","5390","1792","773","1019","1372","546","826","17602","16932","8867","3581","411","112","43","3","34","2","2","17","11","11","7","4","0","0","3950","670","32","10","41","447","9414","3709","506","157","18","4494","17602","12305","9446","78","41","2740","5297","17602","12305","7305","119","374","20","11","3919","557","5297","1562","3462","37","92","0","31","113","17602","17007","5192","2238","6134","4431","2186","883","155","1257","84","29","451","595","595","527","68","0","0","0","5192","3876","2146","2238","1237","528","234","1110","675","1316","1010","464","86","546","279","2540","1018","3.28","3.72","6155","5192","963","848","3","39","3","2","68","1.7","22.4","5192","2261","2931","7587","9420","3.36","3.21","0.37910958378","0.00213334284"
"44.ring1","77013","77013","22650287.0","213335.0","+29.7918079","-095.2289914","17602","1788","1578","1295","1272","1488","1538","1460","1251","1015","954","1004","857","730","431","281","256","209","195","9250","902","843","689","662","801","828","799","689","547","509","558","486","391","208","110","91","69","68","8352","886","735","606","610","687","710","661","562","468","445","446","371","339","223","171","165","140","127","29.5","29.4","29.5","12694","6695","5999","12197","6422","5775","11374","5984","5390","1792","773","1019","1372","546","826","17602","16932","8867","3581","411","112","43","3","34","2","2","17","11","11","7","4","0","0","3950","670","32","10","41","447","9414","3709","506","157","18","4494","17602","12305","9446","78","41","2740","5297","17602","12305","7305","119","374","20","11","3919","557","5297","1562","3462","37","92","0","31","113","17602","17007","5192","2238","6134","4431","2186","883","155","1257","84","29","451","595","595","527","68","0","0","0","5192","3876","2146","2238","1237","528","234","1110","675","1316","1010","464","86","546","279","2540","1018","3.28","3.72","6155","5192","963","848","3","39","3","2","68","1.7","22.4","5192","2261","2931","7587","9420","3.36","3.21","0.37910958378","0.00213334284"
"45.0","77014","77014","18533863.0","105094.0","+29.9812093","-095.4639708","28684","2654","2600","2408","2408","2293","2469","2269","2308","2156","1950","1784","1311","893","514","287","197","112","71","13735","1338","1286","1200","1246","1085","1207","1052","1115","1019","873","831","602","393","237","123","74","29","25","14949","1316","1314","1208","1162","1208","1262","1217","1193","1137","1077","953","709","500","277","164","123","83","46","29.1","27.9","30.0","20560","9663","10897","19601","9187","10414","18175","8435","9740","1644","681","963","1181","488","693","28684","27777","6951","13573","148","2879","269","188","326","4","13","1451","628","15","3","10","1","1","4211","907","21","57","120","402","7602","13896","269","3040","62","4785","28684","9888","6333","185","78","3292","18796","28684","9888","4732","271","114","25","4","4155","587","18796","2219","13302","34","2854","11","56","320","28684","28673","9596","4128","10463","7882","2919","1052","317","1567","146","28","696","11","0","0","0","11","8","3","9596","6890","4172","4128","2435","635","348","2127","1389","2706","2206","1042","87","1164","227","4671","990","2.99","3.54","11671","9596","2075","1795","38","121","8","14","99","2.5","26.5","9596","4657","4939","15758","12915","3.38","2.61","0.27640026401","0.0017423171"
"45.1","77014","77014","18533863.0","105094.0","+29.9812093","-095.4639708","28684","2654","2600","2408","2408","2293","2469","2269","2308","2156","1950","1784","1311","893","514","287","197","112","71","13735","1338","1286","1200","1246","1085","1207","1052","1115","1019","873","831","602","393","237","123","74","29","25","14949","1316","1314","1208","1162","1208","1262","1217","1193","1137","1077","953","709","500","277","164","123","83","46","29.1","27.9","30.0","20560","9663","10897","19601","9187","10414","18175","8435","9740","1644","681","963","1181","488","693","28684","27777","6951","13573","148","2879","269","188","326","4","13","1451","628","15","3","10","1","1","4211","907","21","57","120","402","7602","13896","269","3040","62","4785","28684","9888","6333","185","78","3292","18796","28684","9888","4732","271","114","25","4","4155","587","18796","2219","13302","34","2854","11","56","320","28684","28673","9596","4128","10463","7882","2919","1052","317","1567","146","28","696","11","0","0","0","11","8","3","9596","6890","4172","4128","2435","635","348","2127","1389","2706","2206","1042","87","1164","227","4671","990","2.99","3.54","11671","9596","2075","1795","38","121","8","14","99","2.5","26.5","9596","4657","4939","15758","12915","3.38","2.61","0.27640026401","0.0017423171"
"46.0","77015","77015","54698749.0","5336242.0","+29.7639304","-095.1731212","53621","4883","4772","4748","4765","4245","4192","3926","3788","3500","3384","3286","2673","1951","1298","850","636","445","279","27088","2509","2510","2395","2479","2240","2167","1975","1879","1751","1673","1618","1340","962","640","372","278","179","121","26533","2374","2262","2353","2286","2005","2025","1951","1909","1749","1711","1668","1333","989","658","478","358","266","158","29.0","28.2","29.9","38265","19178","19087","36311","18160","18151","33592","16743","16849","4581","2137","2444","3508","1590","1918","53621","51815","29394","9339","533","914","371","71","207","7","22","120","116","17","3","4","1","9","11618","1806","90","55","135","1195","30909","9652","729","1084","64","13039","53621","34090","29408","144","72","4466","19531","53621","34090","20244","361","424","33","4","11557","1467","19531","9150","8978","109","881","13","61","339","53621","53600","16440","8258","20039","14490","6196","2601","571","2667","200","71","1229","21","0","0","0","21","19","2","16440","12480","7003","8258","4588","1217","615","3005","1800","3960","3190","1701","276","1489","481","8099","2691","3.26","3.76","18461","16440","2021","1345","18","169","48","32","409","1.8","15.5","16440","9138","7302","31477","22123","3.44","3.03","0.62666681906","0.00559999886"
"46.1","77015","77015","54698749.0","5336242.0","+29.7639304","-095.1731212","53621","4883","4772","4748","4765","4245","4192","3926","3788","3500","3384","3286","2673","1951","1298","850","636","445","279","27088","2509","2510","2395","2479","2240","2167","1975","1879","1751","1673","1618","1340","962","640","372","278","179","121","26533","2374","2262","2353","2286","2005","2025","1951","1909","1749","1711","1668","1333","989","658","478","358","266","158","29.0","28.2","29.9","38265","19178","19087","36311","18160","18151","33592","16743","16849","4581","2137","2444","3508","1590","1918","53621","51815","29394","9339","533","914","371","71","207","7","22","120","116","17","3","4","1","9","11618","1806","90","55","135","1195","30909","9652","729","1084","64","13039","53621","34090","29408","144","72","4466","19531","53621","34090","20244","361","424","33","4","11557","1467","19531","9150","8978","109","881","13","61","339","53621","53600","16440","8258","20039","14490","6196","2601","571","2667","200","71","1229","21","0","0","0","21","19","2","16440","12480","7003","8258","4588","1217","615","3005","1800","3960","3190","1701","276","1489","481","8099","2691","3.26","3.76","18461","16440","2021","1345","18","169","48","32","409","1.8","15.5","16440","9138","7302","31477","22123","3.44","3.03","0.62666681906","0.00559999886"
"47","77016","77016","25044017.0","158854.0","+29.8625315","-095.2999798","26989","1917","1912","1885","2013","1750","1638","1532","1538","1621","1798","1860","1623","1544","1577","1232","807","452","290","13029","950","993","1011","1007","913","835","758","779","827","906","911","753","636","617","540","324","180","89","13960","967","919","874","1006","837","803","774","759","794","892","949","870","908","960","692","483","272","201","37.8","35.3","40.3","20924","9899","11025","20057","9483","10574","18874","8866","10008","5293","2150","3143","4358","1750","2608","26989","26557","3634","19044","163","47","10","4","4","3","4","5","17","2","2","0","0","0","3667","432","12","2","51","210","3936","19216","252","88","19","3946","26989","7275","6423","21","15","816","19714","26989","7275","3110","116","115","2","0","3648","284","19714","524","18928","48","45","2","19","148","26989","26931","9279","3162","8488","4625","4686","2163","319","1316","140","126","501","58","20","8","12","38","23","15","9279","6549","2185","3162","1113","731","210","2656","862","2730","2363","1077","338","1286","669","3247","3407","2.9","3.49","10593","9279","1314","636","22","87","25","39","505","1.4","17.0","9279","6189","3090","17643","9288","2.85","3.01","0.25471702868","0.00235313491"
"48","77017","77017","22520254.0","594364.0","+29.6898242","-095.2523931","32561","3002","2861","2803","2787","2620","2392","2323","2342","2232","2082","1899","1549","1191","767","585","469","381","276","16542","1554","1467","1425","1409","1381","1234","1237","1200","1142","1045","1022","770","604","368","262","196","131","95","16019","1448","1394","1378","1378","1239","1158","1086","1142","1090","1037","877","779","587","399","323","273","250","181","29.6","29.2","30.1","23346","11819","11527","22238","11288","10950","20584","10412","10172","3143","1384","1759","2478","1052","1426","32561","31533","20419","1025","270","1373","45","29","33","7","7","1182","70","1","1","0","0","0","8445","1028","54","34","49","733","21325","1136","390","1450","17","9312","32561","26826","23479","86","60","3201","5735","32561","26826","17138","118","223","20","0","8413","914","5735","3281","907","47","1353","1","32","114","32561","32430","9573","4814","12071","8313","4360","1866","412","1612","125","50","707","131","2","1","1","129","103","26","9573","7183","4054","4814","2798","767","355","1602","901","2390","1931","991","220","940","462","4762","1952","3.39","3.96","10770","9573","1197","795","40","81","24","20","237","1.5","15.3","9573","5196","4377","18679","13751","3.59","3.14","0.26189780032","0.00215454066"
"49","77018","77018","17147259.0","71108.0","+29.8264479","-095.4262673","25563","1895","1427","1269","1325","1264","1851","2026","1990","1929","1934","2104","1855","1391","950","659","610","536","548","12698","952","751","677","702","671","951","1037","1034","1029","955","1047","915","663","432","277","248","197","160","12865","943","676","592","623","593","900","989","956","900","979","1057","940","728","518","382","362","339","388","39.4","38.1","40.9","20711","10178","10533","20130","9899","10231","19428","9501","9927","4086","1684","2402","3303","1314","1989","25563","24876","18638","2665","176","354","78","115","31","4","18","60","48","7","2","0","1","4","3036","687","96","120","72","278","19237","2784","308","529","44","3374","25563","8831","6895","95","64","1777","16732","25563","8831","5222","81","111","16","0","2997","404","16732","13416","2584","65","338","7","39","283","25563","25084","10557","4468","6486","4635","1890","684","236","1683","68","79","834","479","188","100","88","291","235","56","10557","6296","2605","4468","1836","489","171","1339","598","4261","3342","1493","281","1849","743","2980","2506","2.38","3.04","11837","10557","1280","523","29","321","54","22","331","4.2","13.9","10557","7334","3223","16905","8179","2.31","2.54","0.22674314219","0.00160709416"
"50","77019","77019","9115666.0","104823.0","+29.7541497","-095.4094982","18944","806","783","696","674","1391","2570","1899","1511","1267","1286","1431","1447","1174","852","449","296","221","191","9546","421","387","345","324","627","1227","1026","810","671","681","704","732","594","456","223","134","104","80","9398","385","396","351","350","764","1343","873","701","596","605","727","715","580","396","226","162","117","111","37.0","37.4","36.5","16498","8310","8188","16209","8172","8037","15875","8020","7855","2679","1339","1340","2009","997","1012","18944","18540","14845","1877","49","1076","242","264","61","38","52","290","129","5","3","1","0","1","688","404","40","179","50","57","15204","1963","115","1291","25","784","18944","2709","1836","110","74","689","16235","18944","2709","1886","51","8","16","0","641","107","16235","12959","1826","41","1060","5","47","297","18944","18699","9955","3223","3111","2466","640","180","111","1770","37","53","699","245","127","63","64","118","26","92","9955","4149","1430","3223","942","235","76","691","412","5806","4483","2352","249","2131","405","1530","1543","1.88","2.68","10980","9955","1025","426","45","174","43","141","196","3.4","7.8","9955","4977","4978","10381","8318","2.09","1.67","0.2150570846","0.00085998517"
