"shapeid","x","y"
"0","-95.143238","29.667111"
"0","-95.143416","29.667115"
"0","-95.143545","29.667113"
"0","-95.143594","29.667112"
"0","-95.143755","29.66711"
"0","-95.143732","29.66585"
"0","-95.143779","29.665848"
"0","-95.144272","29.665834"
"0","-95.145178","29.665808"
"0","-95.145407","29.665805"
"0","-95.147135","29.66578"
"0","-95.147133","29.666101"
"0","-95.147363","29.66614"
"0","-95.147376","29.666363"
"0","-95.147251","29.666433"
"0","-95.147264","29.666654"
"0","-95.147383","29.666674"
"0","-95.147568","29.666746"
"0","-95.147547","29.665774"
"0","-95.14883","29.665753"
"0","-95.149574","29.665739"
"0","-95.150501","29.665732"
"0","-95.150627","29.665731"
"0","-95.15131","29.665724"
"0","-95.151322","29.666215"
"0","-95.152605","29.666968"
"0","-95.153093","29.667259"
"0","-95.153055","29.6657"
"0","-95.153342","29.665696"
"0","-95.154524","29.665674"
"0","-95.155368","29.665658"
"0","-95.15547","29.668144"
"0","-95.155504","29.668694"
"0","-95.155554","29.669522"
"0","-95.155624","29.670677"
"0","-95.155761","29.670678"
"0","-95.155748","29.670331"
"0","-95.155696","29.668808"
"0","-95.155643","29.667283"
"0","-95.15566","29.666179"
"0","-95.15565","29.665651"
"0","-95.155863","29.665648"
"0","-95.156147","29.665643"
"0","-95.156542","29.665634"
"0","-95.156713","29.665632"
"0","-95.157127","29.665623"
"0","-95.157259","29.665621"
"0","-95.157941","29.665607"
"0","-95.158696","29.665593"
"0","-95.159857","29.665571"
"0","-95.160145","29.665571"
"0","-95.160442","29.665569"
"0","-95.160851","29.665567"
"0","-95.162895","29.665531"
"0","-95.163944","29.665505"
"0","-95.164295","29.665495"
"0","-95.164342","29.665737"
"0","-95.164381","29.666694"
"0","-95.164407","29.667331"
"0","-95.166376","29.667321"
"0","-95.166391","29.665426"
"0","-95.166609","29.665417"
"0","-95.167034","29.665402"
"0","-95.167641","29.665397"
"0","-95.168614","29.665386"
"0","-95.169115","29.665384"
"0","-95.16937","29.66538"
"0","-95.169366","29.665601"
"0","-95.16946","29.665631"
"0","-95.169471","29.665757"
"0","-95.169405","29.665839"
"0","-95.169401","29.666054"
"0","-95.169513","29.666133"
"0","-95.169509","29.666298"
"0","-95.169609","29.666244"
"0","-95.169847","29.666231"
"0","-95.170143","29.666204"
